order_item_id,order_id,product_id,quantity,discount
1,1,13,2,0.0
2,2,66,1,0.05
3,3,76,2,0.0
4,4,27,1,0.05
5,5,47,3,0.0
6,5,71,2,0.02
7,5,40,1,0.05
8,6,33,1,0.0
9,7,29,1,0.0
10,7,27,2,0.15
11,8,52,1,0.0
12,8,54,3,0.0
13,8,65,1,0.0
14,9,41,3,0.0
15,9,19,1,0.0
16,10,86,1,0.0
17,11,88,2,0.0
18,12,5,1,0.1
19,13,47,2,0.0
20,14,5,1,0.05
21,14,77,1,0.1
22,15,1,3,0.0
23,15,61,3,0.02
24,16,40,2,0.05
25,17,93,1,0.1
26,17,31,1,0.05
27,18,9,2,0.0
28,18,12,1,0.02
29,18,10,1,0.05
30,18,23,1,0.0
31,19,40,1,0.0
32,20,53,2,0.0
33,21,62,1,0.0
34,21,20,1,0.0
35,21,19,1,0.0
36,22,25,1,0.0
37,22,13,1,0.0
38,22,68,1,0.1
39,23,92,1,0.05
40,23,65,1,0.0
41,24,38,1,0.1
42,24,59,3,0.0
43,25,90,3,0.05
44,25,41,1,0.0
45,25,79,2,0.0
46,26,18,2,0.0
47,27,80,1,0.0
48,28,58,1,0.02
49,28,26,1,0.05
50,28,4,2,0.02
51,28,55,1,0.15
52,29,94,1,0.0
53,29,59,1,0.0
54,30,37,1,0.05
55,30,7,1,0.1
56,31,11,2,0.05
57,32,25,3,0.02
58,32,44,2,0.02
59,32,66,1,0.0
60,32,20,2,0.0
61,32,49,1,0.02
62,33,60,1,0.0
63,33,76,1,0.0
64,34,86,1,0.0
65,35,37,1,0.05
66,36,70,2,0.05
67,36,40,1,0.0
68,37,21,1,0.0
69,37,20,2,0.0
70,37,43,1,0.0
71,38,71,1,0.02
72,39,73,1,0.02
73,39,91,3,0.1
74,39,28,1,0.0
75,39,84,1,0.0
76,39,68,3,0.0
77,40,89,1,0.0
78,41,31,3,0.0
79,41,34,4,0.05
80,42,22,2,0.0
81,42,50,1,0.02
82,43,9,1,0.02
83,44,47,1,0.05
84,44,34,2,0.02
85,44,89,1,0.0
86,45,48,4,0.0
87,46,81,2,0.05
88,46,53,2,0.0
89,47,54,1,0.02
90,47,29,1,0.0
91,48,22,4,0.02
92,48,4,1,0.0
93,48,60,3,0.1
94,48,58,1,0.0
95,48,70,2,0.0
96,49,48,2,0.02
97,49,42,1,0.05
98,50,90,1,0.1
99,51,33,1,0.0
100,51,44,1,0.02
101,51,29,1,0.0
102,52,36,1,0.05
103,52,65,1,0.0
104,52,77,2,0.0
105,53,79,4,0.05
106,54,86,2,0.0
107,55,91,1,0.0
108,56,45,1,0.1
109,57,66,3,0.0
110,58,29,2,0.05
111,58,66,2,0.0
112,58,65,2,0.02
113,59,87,1,0.02
114,59,34,3,0.15
115,59,42,1,0.0
116,59,78,1,0.1
117,60,60,2,0.0
118,60,74,1,0.0
119,60,2,1,0.0
120,60,50,1,0.15
121,61,59,1,0.0
122,61,44,1,0.0
123,61,67,1,0.02
124,62,66,1,0.0
125,62,45,1,0.0
126,63,68,2,0.15
127,63,1,1,0.0
128,64,92,2,0.05
129,65,79,2,0.0
130,66,79,1,0.1
131,67,9,2,0.0
132,67,31,1,0.05
133,68,72,2,0.02
134,69,23,3,0.0
135,70,24,1,0.0
136,70,70,2,0.1
137,71,47,1,0.02
138,71,20,1,0.0
139,72,25,1,0.1
140,73,40,2,0.0
141,74,74,3,0.0
142,74,7,2,0.02
143,75,20,1,0.1
144,75,8,3,0.0
145,76,23,1,0.0
146,76,21,1,0.15
147,77,50,1,0.0
148,78,95,1,0.0
149,79,32,2,0.02
150,79,73,1,0.0
151,79,49,1,0.1
152,80,62,3,0.15
153,80,77,2,0.1
154,81,93,1,0.0
155,81,40,2,0.0
156,81,78,1,0.02
157,81,48,1,0.1
158,82,38,1,0.0
159,83,40,2,0.0
160,83,56,1,0.0
161,84,90,2,0.0
162,85,4,1,0.02
163,85,54,2,0.1
164,86,32,1,0.0
165,86,45,1,0.05
166,86,39,1,0.0
167,87,56,1,0.1
168,87,94,1,0.05
169,88,8,2,0.02
170,88,85,1,0.15
171,88,52,1,0.05
172,89,86,3,0.0
173,90,92,1,0.02
174,90,40,1,0.0
175,90,49,1,0.1
176,91,42,1,0.05
177,91,76,1,0.0
178,91,82,1,0.0
179,91,58,1,0.0
180,92,57,1,0.05
181,92,9,2,0.1
182,92,84,1,0.0
183,93,50,3,0.05
184,94,51,2,0.0
185,94,78,2,0.0
186,94,75,1,0.0
187,94,74,1,0.02
188,95,54,2,0.02
189,95,68,3,0.0
190,96,83,3,0.0
191,96,95,1,0.1
192,97,18,1,0.05
193,97,5,1,0.0
194,97,25,1,0.0
195,97,9,1,0.1
196,98,46,1,0.0
197,98,4,1,0.0
198,99,57,1,0.0
199,100,92,2,0.0
200,101,10,1,0.0
201,102,23,1,0.0
202,103,41,2,0.0
203,103,36,4,0.05
204,104,89,1,0.05
205,105,19,2,0.02
206,106,69,1,0.0
207,106,40,2,0.05
208,106,43,1,0.0
209,106,17,1,0.05
210,107,18,1,0.02
211,108,15,1,0.0
212,108,7,3,0.05
213,109,55,1,0.1
214,110,8,1,0.02
215,110,51,2,0.05
216,110,36,1,0.05
217,111,87,1,0.0
218,111,49,1,0.0
219,112,89,2,0.0
220,113,1,1,0.02
221,114,93,1,0.02
222,115,67,2,0.05
223,115,69,3,0.0
224,115,11,1,0.0
225,116,61,1,0.0
226,116,47,3,0.0
227,117,28,1,0.05
228,118,35,3,0.0
229,119,62,1,0.0
230,120,95,1,0.1
231,120,26,2,0.0
232,121,39,1,0.15
233,121,44,3,0.0
234,122,51,1,0.0
235,122,3,4,0.05
236,123,10,1,0.02
237,124,39,1,0.02
238,124,66,1,0.0
239,125,39,1,0.0
240,125,76,1,0.0
241,125,42,1,0.0
242,125,93,3,0.0
243,126,3,1,0.0
244,126,30,1,0.05
245,126,45,2,0.0
246,127,4,1,0.05
247,127,48,1,0.0
248,127,93,1,0.02
249,127,84,1,0.0
250,127,25,1,0.0
251,128,84,1,0.05
252,128,43,1,0.0
253,128,75,3,0.0
254,129,48,1,0.0
255,130,54,1,0.0
256,130,10,1,0.05
257,130,28,1,0.0
258,130,95,2,0.02
259,130,42,1,0.0
260,131,43,1,0.15
261,132,13,2,0.0
262,132,60,1,0.05
263,133,64,3,0.0
264,133,63,1,0.1
265,133,85,1,0.05
266,133,2,1,0.0
267,134,28,1,0.0
268,134,21,1,0.05
269,135,51,2,0.0
270,136,41,1,0.02
271,137,30,1,0.05
272,137,16,1,0.1
273,137,34,1,0.0
274,137,42,1,0.0
275,137,12,2,0.0
276,138,24,3,0.05
277,139,94,1,0.0
278,140,82,1,0.0
279,140,12,1,0.0
280,141,67,1,0.0
281,141,33,1,0.0
282,141,69,1,0.02
283,141,53,1,0.05
284,142,64,1,0.0
285,143,49,1,0.0
286,144,92,1,0.0
287,145,40,1,0.02
288,146,62,2,0.0
289,146,36,1,0.02
290,146,7,1,0.05
291,147,5,1,0.0
292,147,46,1,0.1
293,148,91,1,0.0
294,149,37,1,0.02
295,150,56,1,0.0
296,151,10,1,0.05
297,152,1,3,0.05
298,152,5,2,0.02
299,152,59,3,0.05
300,153,22,1,0.05
301,153,61,2,0.02
302,154,59,1,0.0
303,155,9,1,0.02
304,156,45,1,0.02
305,156,68,2,0.05
306,156,34,1,0.05
307,156,57,2,0.0
308,157,51,2,0.05
309,158,37,1,0.05
310,159,42,1,0.0
311,160,48,1,0.0
312,160,36,1,0.02
313,161,44,2,0.05
314,162,30,1,0.05
315,162,70,1,0.0
316,163,93,1,0.02
317,164,94,1,0.0
318,165,38,1,0.0
319,165,81,1,0.0
320,166,95,1,0.05
321,166,53,4,0.0
322,166,52,1,0.0
323,167,57,3,0.1
324,168,10,3,0.0
325,168,15,2,0.0
326,169,22,2,0.0
327,170,55,2,0.0
328,171,87,3,0.0
329,172,87,1,0.02
330,173,35,1,0.02
331,173,71,1,0.0
332,173,43,1,0.02
333,173,91,1,0.02
334,174,90,1,0.1
335,175,76,4,0.05
336,175,4,2,0.02
337,175,34,2,0.0
338,175,22,1,0.05
339,176,51,1,0.0
340,177,57,1,0.05
341,178,88,1,0.05
342,178,90,1,0.02
343,178,55,1,0.0
344,179,4,1,0.02
345,179,3,1,0.05
346,179,45,1,0.1
347,180,82,1,0.0
348,180,17,2,0.0
349,180,53,1,0.0
350,180,70,1,0.05
351,181,63,2,0.0
352,181,57,1,0.0
353,181,45,1,0.0
354,181,24,4,0.1
355,182,18,1,0.05
356,183,21,2,0.05
357,183,28,1,0.02
358,184,39,1,0.0
359,185,47,1,0.02
360,185,28,1,0.0
361,185,31,2,0.0
362,186,39,1,0.0
363,186,70,1,0.0
364,186,64,1,0.1
365,187,10,1,0.0
366,188,58,2,0.05
367,188,3,2,0.1
368,189,35,3,0.0
369,189,62,1,0.0
370,189,10,2,0.05
371,189,5,2,0.1
372,190,42,1,0.0
373,191,54,1,0.0
374,191,78,1,0.02
375,191,64,1,0.0
376,191,5,1,0.0
377,192,5,2,0.0
378,193,15,2,0.05
379,194,29,1,0.0
380,195,63,1,0.0
381,196,86,1,0.1
382,196,39,1,0.02
383,197,20,2,0.05
384,198,35,1,0.0
385,199,1,2,0.0
386,200,55,1,0.0
387,200,17,2,0.0
388,201,18,2,0.0
389,201,47,1,0.0
390,202,28,1,0.05
391,202,19,2,0.1
392,202,76,2,0.0
393,203,33,1,0.02
394,203,74,2,0.05
395,203,1,2,0.0
396,204,90,4,0.0
397,205,26,1,0.1
398,206,73,1,0.0
399,207,93,3,0.0
400,208,92,1,0.0
401,208,64,2,0.02
402,208,10,1,0.0
403,209,21,1,0.1
404,210,57,1,0.0
405,210,37,1,0.0
406,210,81,1,0.0
407,211,61,1,0.02
408,211,55,1,0.0
409,212,15,3,0.0
410,213,77,1,0.0
411,214,33,2,0.05
412,215,32,2,0.0
413,216,83,1,0.05
414,216,76,1,0.1
415,216,14,2,0.02
416,217,65,3,0.0
417,217,14,1,0.1
418,217,62,3,0.0
419,218,47,3,0.0
420,219,24,1,0.02
421,220,84,4,0.0
422,221,77,2,0.05
423,222,58,1,0.0
424,222,69,1,0.0
425,223,15,1,0.0
426,224,1,2,0.05
427,224,19,2,0.05
428,224,31,1,0.0
429,225,62,1,0.0
430,226,2,1,0.0
431,226,84,1,0.0
432,227,55,2,0.1
433,227,65,1,0.05
434,228,75,1,0.0
435,228,91,1,0.05
436,229,38,1,0.0
437,230,91,1,0.0
438,230,22,2,0.05
439,231,45,1,0.0
440,232,32,1,0.02
441,232,92,1,0.02
442,233,45,1,0.05
443,233,26,2,0.05
444,234,17,1,0.0
445,235,38,1,0.05
446,236,94,1,0.0
447,236,41,2,0.1
448,236,60,1,0.05
449,237,23,2,0.0
450,237,80,1,0.05
451,238,8,1,0.02
452,239,77,2,0.1
453,240,17,1,0.1
454,240,67,1,0.1
455,241,33,1,0.05
456,241,35,1,0.0
457,242,14,1,0.05
458,242,13,1,0.05
459,242,54,1,0.1
460,243,34,2,0.05
461,243,2,2,0.05
462,244,28,2,0.0
463,245,43,1,0.0
464,245,65,1,0.05
465,245,2,2,0.0
466,246,54,3,0.0
467,247,69,1,0.0
468,248,25,1,0.05
469,249,16,3,0.02
470,250,12,1,0.15
471,251,73,2,0.05
472,251,11,1,0.1
473,252,1,1,0.0
474,252,5,1,0.1
475,253,26,3,0.0
476,253,5,2,0.02
477,254,4,1,0.05
478,255,24,2,0.05
479,256,70,2,0.02
480,256,19,1,0.02
481,256,32,2,0.0
482,257,12,1,0.0
483,258,30,2,0.15
484,259,44,1,0.0
485,260,71,1,0.0
486,261,28,1,0.0
487,261,1,1,0.0
488,262,12,2,0.0
489,263,25,1,0.1
490,263,22,1,0.0
491,264,40,1,0.0
492,264,89,3,0.0
493,264,32,2,0.15
494,264,86,1,0.0
495,265,72,1,0.02
496,266,52,1,0.0
497,267,87,2,0.0
498,268,81,3,0.02
499,268,26,2,0.0
500,268,86,1,0.0
501,268,69,1,0.05
502,269,23,1,0.0
503,270,51,3,0.0
504,270,58,1,0.1
505,271,41,1,0.1
506,272,57,1,0.02
507,272,44,1,0.0
508,273,57,2,0.02
509,274,45,1,0.0
510,274,39,1,0.02
511,274,44,1,0.0
512,275,89,1,0.02
513,276,7,1,0.0
514,276,12,1,0.0
515,276,1,1,0.1
516,277,33,1,0.1
517,277,74,1,0.05
518,277,4,2,0.0
519,278,88,3,0.05
520,279,60,2,0.0
521,279,14,1,0.0
522,279,49,1,0.0
523,279,17,1,0.0
524,279,62,1,0.0
525,280,15,1,0.02
526,280,35,1,0.0
527,280,44,4,0.0
528,280,2,1,0.0
529,281,89,1,0.0
530,282,75,1,0.0
531,282,15,1,0.0
532,283,79,1,0.15
533,284,39,1,0.0
534,285,73,1,0.0
535,286,90,2,0.0
536,287,32,1,0.0
537,288,56,1,0.02
538,288,5,2,0.0
539,289,16,1,0.0
540,289,46,1,0.0
541,290,85,2,0.0
542,291,54,1,0.0
543,291,6,1,0.0
544,291,66,3,0.0
545,292,45,2,0.0
546,293,89,2,0.15
547,293,76,1,0.0
548,293,55,2,0.0
549,293,49,1,0.1
550,294,4,1,0.1
551,294,32,1,0.05
552,294,21,1,0.02
553,295,2,1,0.0
554,296,93,2,0.0
555,297,68,1,0.0
556,298,75,1,0.0
557,299,69,2,0.05
558,299,18,1,0.0
559,300,90,1,0.05
560,301,19,1,0.0
561,301,28,1,0.0
562,301,18,1,0.05
563,302,63,1,0.0
564,303,19,1,0.0
565,304,54,3,0.02
566,304,33,2,0.1
567,305,84,1,0.0
568,306,89,4,0.0
569,307,31,3,0.0
570,308,34,2,0.02
571,308,50,1,0.0
572,308,83,1,0.0
573,309,29,1,0.05
574,310,70,1,0.0
575,310,52,3,0.0
576,311,11,3,0.0
577,311,82,3,0.05
578,312,59,1,0.02
579,313,31,1,0.02
580,313,19,1,0.05
581,314,45,3,0.1
582,314,6,4,0.02
583,315,38,1,0.0
584,315,4,1,0.02
585,316,48,1,0.0
586,316,34,2,0.02
587,316,1,2,0.02
588,317,56,1,0.05
589,318,94,1,0.05
590,318,85,3,0.1
591,319,4,2,0.1
592,319,27,1,0.0
593,319,21,1,0.05
594,320,51,1,0.0
595,320,85,1,0.0
596,320,2,1,0.0
597,321,1,3,0.0
598,321,42,1,0.1
599,321,64,1,0.1
600,321,27,3,0.0
601,322,49,2,0.0
602,323,14,1,0.05
603,324,26,2,0.02
604,325,20,2,0.05
605,325,78,2,0.02
606,325,14,1,0.0
607,326,64,2,0.02
608,327,45,2,0.0
609,327,93,1,0.02
610,328,36,1,0.0
611,328,44,1,0.15
612,328,8,1,0.0
613,328,14,3,0.0
614,328,31,2,0.05
615,329,3,1,0.05
616,329,17,2,0.02
617,330,44,1,0.05
618,330,11,1,0.0
619,331,6,1,0.02
620,331,58,1,0.05
621,331,76,1,0.1
622,332,54,3,0.0
623,332,88,1,0.1
624,333,3,1,0.1
625,334,82,1,0.0
626,335,74,3,0.0
627,336,22,1,0.0
628,337,2,1,0.0
629,338,45,2,0.0
630,338,77,1,0.1
631,338,76,2,0.0
632,339,14,2,0.0
633,339,52,4,0.05
634,340,50,1,0.15
635,341,47,1,0.02
636,341,71,1,0.05
637,341,69,3,0.0
