order_id,customer_id,order_date,order_status,payment_method,shipping_cost
1,1955,2025-08-19,Completed,Card,7.48
2,1695,2024-01-18,Completed,PayPal,8.74
3,2240,2024-09-12,Completed,Card,7.74
4,2096,2025-06-01,Completed,PayPal,10.44
5,619,2025-03-17,Completed,Bank Transfer,19.54
6,493,2025-10-24,Cancelled,PayPal,3.78
7,836,2025-09-28,Completed,Card,5.23
8,1558,2025-08-09,Completed,Card,6.91
9,1911,2025-07-06,Completed,Cash on Delivery,4.15
10,1088,2024-02-21,Completed,Card,21.55
11,668,2025-07-24,Completed,Bank Transfer,17.8
12,450,2024-07-20,Completed,Card,14.33
13,655,2025-01-17,Completed,PayPal,18.91
14,1877,2025-12-09,Completed,PayPal,7.35
15,169,2024-11-30,Completed,Mobile Money,20.64
16,1718,2024-01-03,Completed,Card,10.2
17,2235,2024-03-02,Completed,Card,17.44
18,1686,2025-03-23,Completed,Card,14.41
19,2406,2025-03-30,Completed,Card,18.7
20,241,2024-07-10,Completed,Bank Transfer,20.1
21,29,2025-11-29,Completed,Card,13.84
22,522,2025-09-29,Completed,Card,19.68
23,1723,2025-11-23,Completed,Bank Transfer,22.16
24,1099,2024-04-26,Completed,Card,5.96
25,641,2025-02-12,Completed,Bank Transfer,16.77
26,2427,2024-04-13,Completed,Bank Transfer,6.86
27,1441,2024-06-13,Completed,Card,15.27
28,2490,2024-08-25,Completed,Bank Transfer,4.53
29,2205,2025-02-19,Completed,Card,4.71
30,1790,2025-10-12,Completed,Cash on Delivery,21.29
31,2038,2024-05-25,Completed,Mobile Money,6.85
32,185,2024-09-30,Completed,Card,11.54
33,1963,2025-09-02,Completed,Card,3.47
34,1125,2024-01-06,Completed,Cash on Delivery,4.76
35,2354,2025-09-01,Completed,Bank Transfer,13.93
36,2415,2024-03-11,Completed,Mobile Money,11.62
37,756,2025-11-13,Completed,Card,21.15
38,1332,2025-08-01,Cancelled,Card,14.39
39,1950,2025-11-04,Completed,Card,17.41
40,2418,2025-03-23,Completed,Card,17.38
41,153,2024-06-14,Completed,Bank Transfer,9.26
42,195,2024-12-08,Completed,Card,22.33
43,1240,2025-03-05,Cancelled,Cash on Delivery,23.91
44,2113,2024-05-07,Completed,Card,24.54
45,328,2024-07-23,Completed,Card,3.0
46,550,2025-05-18,Completed,Bank Transfer,23.23
47,1624,2025-04-26,Completed,Card,7.33
48,1941,2024-02-23,Completed,Bank Transfer,12.83
49,297,2025-11-24,Completed,Cash on Delivery,15.77
50,2093,2025-10-21,Completed,Card,19.13
51,2180,2024-02-17,Completed,Card,10.9
52,394,2024-01-13,Completed,Bank Transfer,12.7
53,2149,2024-09-18,Completed,Bank Transfer,2.52
54,1422,2025-09-02,Completed,Card,18.03
55,110,2024-05-27,Completed,Card,19.11
56,1887,2025-12-06,Completed,Bank Transfer,21.61
57,2082,2024-10-07,Completed,Cash on Delivery,9.25
58,757,2025-03-02,Completed,Bank Transfer,11.85
59,926,2024-07-08,Completed,PayPal,14.25
60,1399,2024-12-10,Completed,Card,2.59
61,464,2024-04-13,Completed,Card,16.75
62,153,2024-12-04,Returned,Card,11.19
63,2222,2025-06-05,Completed,Card,13.37
64,330,2025-06-20,Cancelled,PayPal,22.3
65,1629,2024-02-20,Completed,Cash on Delivery,9.51
66,731,2024-02-22,Completed,Card,2.85
67,588,2025-01-01,Completed,Card,7.5
68,1384,2024-07-15,Completed,Card,9.59
69,2180,2025-01-26,Cancelled,Bank Transfer,21.54
70,805,2024-06-30,Completed,Card,24.37
71,244,2025-02-13,Completed,Mobile Money,20.72
72,1880,2024-10-14,Completed,Card,8.97
73,1134,2024-12-18,Completed,Bank Transfer,23.27
74,2089,2024-02-01,Completed,Card,7.46
75,101,2024-06-04,Returned,Bank Transfer,7.54
76,1284,2025-11-13,Completed,PayPal,15.35
77,1626,2025-05-03,Completed,Cash on Delivery,21.03
78,1572,2024-11-14,Completed,PayPal,20.05
79,1289,2024-10-15,Completed,Card,17.83
