product_id,product_name,category,subcategory,unit_cost,unit_price
1,Wireless Earbuds 1,Electronics,Consumer Electronics,100.31,182.93
2,Wireless Earbuds 2,Electronics,Consumer Electronics,48.01,81.21
3,Bluetooth Speaker 1,Electronics,Consumer Electronics,139.07,205.38
4,Bluetooth Speaker 2,Electronics,Consumer Electronics,78.94,127.52
5,Power Bank 1,Electronics,Consumer Electronics,52.57,82.89
6,Power Bank 2,Electronics,Consumer Electronics,89.42,149.24
7,USB-C Hub 1,Electronics,Consumer Electronics,110.89,169.85
8,USB-C Hub 2,Electronics,Consumer Electronics,150.82,224.31
9,Mechanical Keyboard 1,Electronics,Consumer Electronics,72.69,131.82
10,Mechanical Keyboard 2,Electronics,Consumer Electronics,111.78,170.62
11,Wireless Mouse 1,Electronics,Consumer Electronics,148.67,274.05
12,Wireless Mouse 2,Electronics,Consumer Electronics,156.69,283.62
13,Smart Watch 1,Electronics,Consumer Electronics,89.64,134.55
14,Smart Watch 2,Electronics,Consumer Electronics,98.64,169.14
15,Webcam 1,Electronics,Consumer Electronics,11.93,16.25
16,Webcam 2,Electronics,Consumer Electronics,68.71,105.22
17,Air Fryer 1,Home & Kitchen,Home Appliances,58.57,78.33
18,Air Fryer 2,Home & Kitchen,Home Appliances,11.21,20.43
19,Electric Kettle 1,Home & Kitchen,Home Appliances,33.55,56.7
20,Electric Kettle 2,Home & Kitchen,Home Appliances,141.09,246.35
21,Coffee Maker 1,Home & Kitchen,Home Appliances,26.13,43.59
22,Coffee Maker 2,Home & Kitchen,Home Appliances,140.84,182.16
23,Blender 1,Home & Kitchen,Home Appliances,145.11,214.4
24,Blender 2,Home & Kitchen,Home Appliances,76.82,137.09
25,Desk Lamp 1,Home & Kitchen,Home Appliances,119.53,178.25
26,Desk Lamp 2,Home & Kitchen,Home Appliances,20.07,25.71
27,Storage Box 1,Home & Kitchen,Home Appliances,74.67,125.5
28,Storage Box 2,Home & Kitchen,Home Appliances,121.52,168.02
29,Nonstick Pan 1,Home & Kitchen,Home Appliances,60.86,81.35
30,Nonstick Pan 2,Home & Kitchen,Home Appliances,37.93,65.71
31,Water Bottle 1,Home & Kitchen,Home Appliances,39.06,57.16
32,Water Bottle 2,Home & Kitchen,Home Appliances,163.7,217.18
33,Sneakers 1,Fashion,Apparel,145.27,204.5
34,Sneakers 2,Fashion,Apparel,79.72,116.06
35,Hoodie 1,Fashion,Apparel,50.59,63.82
36,Hoodie 2,Fashion,Apparel,135.05,172.37
37,T-Shirt 1,Fashion,Apparel,152.59,265.25
38,T-Shirt 2,Fashion,Apparel,89.35,151.21
39,Jeans 1,Fashion,Apparel,127.73,228.9
40,Jeans 2,Fashion,Apparel,31.26,55.21
41,Backpack 1,Fashion,Apparel,171.13,288.08
42,Backpack 2,Fashion,Apparel,41.64,53.84
43,Cap 1,Fashion,Apparel,91.85,136.11
44,Cap 2,Fashion,Apparel,73.88,131.01
45,Dress 1,Fashion,Apparel,13.45,18.09
46,Dress 2,Fashion,Apparel,117.63,193.96
47,Wristwatch 1,Fashion,Apparel,53.33,96.62
48,Wristwatch 2,Fashion,Apparel,8.15,10.29
