review_id,customer_id,product_id,rating,review_date,review_text
1,1326,66,5,2024-08-16,Great quality for the price.
2,1745,70,5,2025-10-30,Excellent product and fast delivery.
3,1333,25,3,2026-01-07,Product is decent for the price.
4,1384,7,5,2025-07-11,Very happy with my purchase.
5,2436,14,3,2025-01-22,"It is okay, but could be better."
6,1047,41,2,2025-09-18,Quality could be improved.
7,1181,56,1,2025-09-16,Very disappointed with the product.
8,500,85,3,2025-11-26,Product is decent for the price.
9,520,41,5,2025-02-14,Very happy with my purchase.
10,2473,62,4,2024-03-04,Works as expected.
11,2267,51,3,2024-08-21,Product is decent for the price.
12,2030,62,5,2025-09-07,Great quality for the price.
13,2321,95,2,2025-05-30,Quality could be improved.
14,1502,7,4,2025-07-14,Works as expected.
15,1367,22,3,2024-08-12,Average experience.
16,644,31,3,2024-11-10,"It is okay, but could be better."
17,1332,10,2,2025-01-24,Quality could be improved.
18,1941,4,4,2024-03-14,Works as expected.
19,1920,2,3,2024-08-06,"It is okay, but could be better."
20,1469,10,4,2024-11-19,Works as expected.
21,2352,2,4,2024-05-04,Works as expected.
22,1177,7,5,2025-02-16,Excellent product and fast delivery.
23,1230,5,2,2025-03-03,Not as good as expected.
24,434,63,5,2025-08-24,Great quality for the price.
25,670,59,3,2025-11-16,"It is okay, but could be better."
26,1514,58,5,2024-06-29,Great quality for the price.
27,223,1,3,2025-10-18,Average experience.
28,105,39,5,2024-06-25,Great quality for the price.
29,1149,76,5,2025-03-12,Excellent product and fast delivery.
30,20,36,4,2025-02-04,Nice quality and useful.
31,53,53,5,2025-11-20,Very happy with my purchase.
32,685,72,1,2025-04-14,Would not buy this again.
33,941,34,5,2024-08-24,Excellent product and fast delivery.
34,71,3,5,2024-03-05,Great quality for the price.
35,884,13,4,2025-05-28,Nice quality and useful.
36,2451,7,5,2024-05-02,Great quality for the price.
37,1466,85,1,2024-07-14,Very disappointed with the product.
38,1552,15,5,2024-03-13,Great quality for the price.
39,305,45,1,2024-03-29,Would not buy this again.
40,1738,61,3,2024-11-20,Product is decent for the price.
41,606,41,3,2025-07-04,Product is decent for the price.
42,2359,5,5,2025-11-24,Great quality for the price.
43,46,80,4,2024-06-17,Good product overall.
44,2033,61,2,2025-01-31,Delivery was fine but product disappointed me.
45,1311,21,5,2025-07-09,Very happy with my purchase.
46,1438,89,5,2024-07-26,Great quality for the price.
47,2149,79,4,2024-09-21,Nice quality and useful.
48,1638,74,2,2025-12-08,Quality could be improved.
49,1391,73,4,2025-10-06,Works as expected.
50,2309,16,4,2026-01-02,Good product overall.
51,1081,81,5,2024-02-05,Excellent product and fast delivery.
52,2174,77,3,2024-08-26,Average experience.
53,1098,43,5,2025-08-27,Very happy with my purchase.
54,1978,87,3,2025-09-25,"It is okay, but could be better."
55,1613,2,5,2026-01-22,Excellent product and fast delivery.
56,1450,31,5,2024-06-04,Very happy with my purchase.
57,1119,58,3,2025-07-17,Product is decent for the price.
58,969,83,5,2025-09-03,Excellent product and fast delivery.
59,1952,46,4,2024-03-02,Good product overall.
60,2200,96,3,2025-04-04,Product is decent for the price.
61,1502,45,4,2024-10-10,Works as expected.
62,2328,50,4,2025-01-14,Nice quality and useful.
63,1306,3,4,2024-11-07,Nice quality and useful.
64,795,2,4,2025-07-09,Works as expected.
65,1989,85,3,2024-11-25,"It is okay, but could be better."
66,2264,58,4,2024-02-23,Works as expected.
67,1946,16,4,2024-09-14,Nice quality and useful.
68,374,94,4,2025-09-17,Works as expected.
69,1222,77,5,2024-03-29,Very happy with my purchase.
70,699,69,5,2025-07-05,Excellent product and fast delivery.
71,1603,79,5,2026-01-05,Great quality for the price.
72,485,68,2,2024-08-16,Quality could be improved.
73,1007,9,3,2025-07-07,Average experience.
74,1381,53,3,2025-09-03,Product is decent for the price.
75,952,83,3,2024-09-05,Average experience.
76,2034,76,4,2025-09-25,Good product overall.
77,719,45,2,2024-02-02,Delivery was fine but product disappointed me.
78,259,56,4,2024-07-21,Works as expected.
79,1289,61,5,2024-04-16,Great quality for the price.
80,1798,59,4,2024-06-04,Works as expected.
81,244,57,5,2025-02-07,Excellent product and fast delivery.
82,901,86,5,2025-07-13,Great quality for the price.
83,1599,89,5,2025-11-09,Great quality for the price.
84,2384,43,5,2024-07-06,Excellent product and fast delivery.
85,169,78,3,2024-12-11,Product is decent for the price.
86,442,17,5,2024-04-03,Excellent product and fast delivery.
87,2349,35,5,2025-01-10,Excellent product and fast delivery.
88,726,48,5,2025-09-20,Very happy with my purchase.
89,139,62,5,2024-11-22,Great quality for the price.
90,1883,73,4,2025-03-20,Nice quality and useful.
91,1190,86,4,2024-11-03,Works as expected.
92,2399,13,5,2025-07-24,Great quality for the price.
93,787,56,4,2024-12-25,Nice quality and useful.
94,1613,56,3,2025-12-26,Average experience.
95,533,67,5,2024-12-07,Very happy with my purchase.
96,1106,72,4,2025-05-22,Nice quality and useful.
97,261,4,1,2024-12-28,Would not buy this again.
98,471,13,4,2024-07-22,Works as expected.
99,731,79,5,2024-03-12,Great quality for the price.
100,13,93,4,2025-01-21,Works as expected.
101,2218,2,4,2025-03-06,Works as expected.
102,2360,96,3,2024-02-19,"It is okay, but could be better."
103,185,49,5,2024-10-22,Great quality for the price.
104,209,95,4,2025-12-03,Good product overall.
105,1067,6,1,2024-09-05,Very disappointed with the product.
106,2062,62,4,2024-07-09,Nice quality and useful.
107,1071,29,4,2024-12-21,Nice quality and useful.
108,1068,20,2,2024-06-29,Delivery was fine but product disappointed me.
109,1845,58,3,2024-02-05,"It is okay, but could be better."
110,2379,65,4,2025-07-14,Good product overall.
111,1647,14,5,2025-12-02,Very happy with my purchase.
112,2465,11,5,2025-10-21,Very happy with my purchase.
113,528,37,4,2024-08-24,Nice quality and useful.
114,2127,66,5,2025-07-15,Excellent product and fast delivery.
115,1599,90,5,2024-08-19,Very happy with my purchase.
116,237,77,5,2025-12-18,Very happy with my purchase.
117,926,23,4,2025-04-10,Good product overall.
118,561,20,4,2024-04-21,Good product overall.
119,141,15,5,2024-09-15,Excellent product and fast delivery.
120,1030,67,3,2024-11-05,"It is okay, but could be better."
121,804,94,4,2024-05-22,Works as expected.
122,2354,57,4,2025-01-15,Nice quality and useful.
123,1539,14,5,2024-06-01,Great quality for the price.
124,546,27,3,2025-10-16,Average experience.
125,1552,64,4,2024-11-12,Works as expected.
126,508,11,3,2024-07-01,"It is okay, but could be better."
127,147,11,5,2025-04-07,Very happy with my purchase.
128,113,13,4,2024-10-25,Nice quality and useful.
129,110,91,5,2024-06-11,Excellent product and fast delivery.
130,273,85,4,2025-05-24,Nice quality and useful.
131,74,54,3,2025-06-07,Average experience.
132,1826,93,4,2024-04-22,Nice quality and useful.
133,2429,55,4,2024-03-30,Works as expected.
134,2143,15,3,2025-09-27,Average experience.
135,630,45,5,2025-10-12,Great quality for the price.
136,1284,5,5,2024-11-18,Very happy with my purchase.
137,1248,62,3,2024-11-26,"It is okay, but could be better."
138,2079,23,5,2024-07-03,Excellent product and fast delivery.
139,209,33,3,2025-10-20,Average experience.
140,2270,30,4,2024-07-29,Nice quality and useful.
141,678,8,5,2024-03-26,Great quality for the price.
142,1226,15,4,2024-01-29,Good product overall.
143,1230,6,4,2025-02-20,Works as expected.
144,1129,70,4,2024-10-04,Works as expected.
145,1910,74,3,2024-12-30,Average experience.
146,1539,48,3,2025-12-21,Product is decent for the price.
147,2157,73,5,2024-03-29,Great quality for the price.
148,867,58,3,2024-04-01,"It is okay, but could be better."
149,2209,44,2,2024-04-24,Quality could be improved.
150,44,44,3,2024-09-02,"It is okay, but could be better."
151,697,20,4,2025-02-27,Nice quality and useful.
152,1391,17,4,2026-01-20,Works as expected.
153,2254,29,5,2024-06-17,Great quality for the price.
154,1027,53,5,2025-11-09,Very happy with my purchase.
155,1332,43,5,2025-11-02,Excellent product and fast delivery.
156,1059,52,5,2024-11-28,Very happy with my purchase.
157,2223,38,4,2024-05-09,Works as expected.
158,792,4,4,2024-10-06,Good product overall.
159,1646,44,4,2025-12-08,Good product overall.
160,723,44,5,2024-10-23,Excellent product and fast delivery.
161,2152,3,4,2024-06-18,Nice quality and useful.
162,942,4,4,2025-05-24,Works as expected.
163,1070,19,4,2024-08-24,Nice quality and useful.
164,1240,14,4,2025-07-29,Good product overall.
165,2253,12,4,2024-09-17,Works as expected.
166,1929,88,1,2024-02-06,Very disappointed with the product.
167,1275,83,4,2024-03-16,Nice quality and useful.
168,49,48,5,2025-04-01,Very happy with my purchase.
169,804,8,5,2024-05-31,Great quality for the price.
170,302,64,3,2024-09-27,"It is okay, but could be better."
171,1818,9,3,2024-12-26,"It is okay, but could be better."
172,1031,70,4,2024-03-28,Nice quality and useful.
173,194,40,4,2024-06-20,Nice quality and useful.
174,1384,39,3,2024-05-29,Average experience.
175,534,34,4,2025-06-17,Nice quality and useful.
176,1326,14,4,2024-07-10,Good product overall.
177,740,78,4,2025-12-21,Good product overall.
178,1925,93,4,2025-11-22,Works as expected.
179,191,48,4,2024-12-01,Good product overall.
180,1104,51,4,2025-10-18,Works as expected.
181,751,54,1,2024-07-20,Would not buy this again.
182,1446,60,5,2024-10-17,Excellent product and fast delivery.
183,2137,68,4,2025-04-06,Nice quality and useful.
184,677,39,5,2024-07-06,Great quality for the price.
185,2297,5,2,2025-08-10,Not as good as expected.
186,439,88,5,2025-11-01,Very happy with my purchase.
187,2361,39,5,2024-03-09,Great quality for the price.
188,1026,1,5,2025-12-12,Very happy with my purchase.
189,2034,87,5,2025-01-31,Excellent product and fast delivery.
190,1738,94,5,2024-12-01,Very happy with my purchase.
191,2087,14,4,2025-11-07,Works as expected.
192,168,39,4,2024-07-26,Works as expected.
193,1246,52,1,2025-12-16,Very disappointed with the product.
194,973,16,4,2024-04-14,Good product overall.
195,339,83,4,2025-11-25,Nice quality and useful.
196,21,36,4,2025-09-25,Works as expected.
197,748,94,1,2024-12-07,Poor quality.
198,2205,24,5,2024-07-27,Very happy with my purchase.
199,1163,81,5,2025-07-16,Excellent product and fast delivery.
200,2119,43,5,2024-05-23,Excellent product and fast delivery.
201,2442,74,5,2025-06-23,Very happy with my purchase.
202,1415,15,3,2025-05-19,Average experience.
203,188,15,4,2026-01-05,Good product overall.
204,2424,34,4,2024-12-05,Works as expected.
205,1065,74,4,2025-06-09,Good product overall.
206,384,13,3,2024-10-22,Average experience.
207,833,53,5,2025-03-06,Excellent product and fast delivery.
208,2403,83,4,2025-09-14,Works as expected.
209,1069,10,4,2025-04-15,Good product overall.
210,894,16,5,2025-05-14,Excellent product and fast delivery.
211,1882,74,4,2025-06-25,Nice quality and useful.
212,2420,24,4,2025-11-20,Nice quality and useful.
213,2222,19,4,2025-09-19,Nice quality and useful.
214,1153,69,4,2024-11-30,Good product overall.
215,857,77,4,2025-10-19,Works as expected.
216,2442,14,4,2024-12-30,Nice quality and useful.
217,1459,84,4,2025-10-23,Nice quality and useful.
218,478,52,4,2025-12-24,Nice quality and useful.
219,1211,80,4,2025-09-27,Works as expected.
220,1445,46,1,2025-04-08,Very disappointed with the product.
221,582,25,4,2024-06-24,Nice quality and useful.
222,1452,86,4,2024-04-13,Works as expected.
223,1596,27,4,2025-01-16,Works as expected.
224,454,49,4,2025-01-24,Works as expected.
